feature,label,category,importance,std
AIS_VDES__available,AIS avail.,Availability,0.27655817568302155,0.019930432417079015
dPMR__available,dPMR avail.,Availability,0.1455021444708109,0.015187189368314669
VHF_DSC__available,VHF avail.,Availability,0.12421653605997562,0.011467987596299556
SATELLITE__available,SAT avail.,Availability,0.09070396609604359,0.017638837504472624
msg_size_kb,msg size,Scenario,0.0642868154682219,0.00777013258939947
msg_priority,msg priority,Scenario,0.04035518690943718,0.006552364185601409
LTE_5G__available,LTE avail.,Availability,0.033006100566126406,0.014840064582201691
LTE_5G__sinr_db,LTE SINR,QoS,0.018332507752347738,0.014442875460025725
distance_to_shore_km,distance to shore,Scenario,0.01772194099612534,0.004654816765768521
LTE_5G__per,LTE PER,QoS,0.014938505599275231,0.006903130439115288
LTE_5G__rssi_dbm,LTE RSSI,QoS,0.014759501442313194,0.008555498159110874
LTE_5G__throughput_kbps,LTE tput,QoS,0.014587586745619774,0.007475964964294914
dPMR__per,dPMR PER,QoS,0.011339807417243719,0.00960748121690363
dPMR__sinr_db,dPMR SINR,QoS,0.010513937450014055,0.005056164524911253
SATELLITE__throughput_kbps,SAT tput,QoS,0.009478047853917815,0.015513213431659305
VHF_DSC__throughput_kbps,VHF tput,QoS,0.006180308104376309,0.007121162250193877
AIS_VDES__throughput_kbps,AIS tput,QoS,0.006053239165339619,0.0032541786007636584
SATELLITE__rssi_dbm,SAT RSSI,QoS,0.0057974204391939566,0.00690273995353987
AIS_VDES__per,AIS PER,QoS,0.005084413394797593,0.00401284995163059
AIS_VDES__per__isnan,AIS PER (missing?),Missingness indicator,0.005038855297698319,0.011447061622826842
dPMR__rssi_dbm,dPMR RSSI,QoS,0.004855793114984408,0.0012004012363676863
AIS_VDES__sinr_db,AIS SINR,QoS,0.004745797938085161,0.004411334326848543
dPMR__throughput_kbps,dPMR tput,QoS,0.004579568805638701,0.0022485934973209072
VHF_DSC__per,VHF PER,QoS,0.004440390184754506,0.0025194101904072765
AIS_VDES__rssi_dbm,AIS RSSI,QoS,0.0044084445253247395,0.002380322041565697
VHF_DSC__sinr_db,VHF SINR,QoS,0.0042553827370284125,0.002533556224671613
VHF_DSC__rssi_dbm,VHF RSSI,QoS,0.0041678997804410756,0.0019645236924261023
LTE_5G__rssi_dbm__isnan,LTE RSSI (missing?),Missingness indicator,0.004051716605317779,0.006164490977860856
LTE_5G__per__isnan,LTE PER (missing?),Missingness indicator,0.0037117984538781457,0.0038297479643042056
VHF_DSC__sinr_db__isnan,VHF SINR (missing?),Missingness indicator,0.0032266977505059913,0.004053718395180625
traffic_density,traffic density,Scenario,0.0032056921190815046,0.0009472347789317895
SATELLITE__sinr_db,SAT SINR,QoS,0.0031311803468270227,0.001271184809233323
sea_state,sea state,Scenario,0.0028958754119230434,0.0011575686956531946
weather_severity,weather severity,Scenario,0.00271469444851391,0.000917493191386017
dPMR__throughput_kbps__isnan,dPMR tput (missing?),Missingness indicator,0.0026836168399313465,0.0022509464799146993
hour_of_day,hour,Scenario,0.0026124125433852896,0.0011843973950763347
LTE_5G__throughput_kbps__isnan,LTE tput (missing?),Missingness indicator,0.002509221842046827,0.0024847735380720457
SATELLITE__per,SAT PER,QoS,0.00250080168916611,0.0008597402940616375
LTE_5G__sinr_db__isnan,LTE SINR (missing?),Missingness indicator,0.002403226535534486,0.0011079195644925978
SATELLITE__throughput_kbps__isnan,SAT tput (missing?),Missingness indicator,0.0023981217673281208,0.0020159601710580625
VHF_DSC__rssi_dbm__isnan,VHF RSSI (missing?),Missingness indicator,0.0020544794824672863,0.0019789323995265985
SATELLITE__sinr_db__isnan,SAT SINR (missing?),Missingness indicator,0.0018439345294609666,0.0018779605544297269
SATELLITE__rssi_dbm__isnan,SAT RSSI (missing?),Missingness indicator,0.0017170798528240994,0.0008853568071843281
dPMR__rssi_dbm__isnan,dPMR RSSI (missing?),Missingness indicator,0.0017115735681727529,0.0013950346412945635
AIS_VDES__throughput_kbps__isnan,AIS tput (missing?),Missingness indicator,0.0016898027934075799,0.0026018818257073327
dPMR__per__isnan,dPMR PER (missing?),Missingness indicator,0.0016093433732748963,0.0013679190561403597
VHF_DSC__per__isnan,VHF PER (missing?),Missingness indicator,0.0011091748856415506,0.0010102257735609768
dPMR__sinr_db__isnan,dPMR SINR (missing?),Missingness indicator,0.000979524262902487,0.001538853792507635
VHF_DSC__throughput_kbps__isnan,VHF tput (missing?),Missingness indicator,0.0009155563420790713,0.0005852867710032964
SATELLITE__per__isnan,SAT PER (missing?),Missingness indicator,0.0008208895269490313,0.000812570026355896
AIS_VDES__sinr_db__isnan,AIS SINR (missing?),Missingness indicator,0.000817597538116388,0.0010307264419970757
AIS_VDES__rssi_dbm__isnan,AIS RSSI (missing?),Missingness indicator,0.0007777183709549718,0.0010722855899056231
