regime,level,cov,abst,baseF1,selF1,err_base,err_sel,errEM_base,errEM_sel,abstEM,fNC_base,fNC_sel
MCAR,0.0,0.9968325957990636,0.005084715896899588,0.9865576741625889,0.9919045047245227,0.0045277446616738375,0.0030090112480656,0.010451290018550536,0.0071904543107476,0.025742643124330087,3.5132096683525e-05,3.5132096683525e-05
MCAR,0.1,0.9969352766936486,0.008827910961255438,0.9855758244929569,0.9926484782637734,0.004910480458287937,0.002881544311533725,0.012623902644353913,0.0074722749064854,0.03748283681840656,3.5132096683525e-05,3.51518560179875e-05
MCAR,0.25,0.9968253895413832,0.020858322456102387,0.9811853012399347,0.9923011561522923,0.005996588958088775,0.0029491382303589,0.0163297125013282,0.005921672979408963,0.06732077204766515,6.956735839151249e-05,3.5141973573225e-05
MCAR,0.5,0.9970417656154176,0.04169102571889725,0.9697162076053532,0.9934060805637268,0.008722982984744524,0.0023022696516823127,0.03962382323549045,0.004241060360408538,0.15995792621999558,6.956735839151249e-05,3.56023924807625e-05
MCAR,0.75,0.9968012917753211,0.07540780082700455,0.9363732834211991,0.9905733033478987,0.015877975230847212,0.0021904003734769624,0.09906829262618036,0.0023578783421302875,0.29499632160351363,7.026419336705e-05,7.47831289261125e-05
staleness,0.05,0.9946154662804083,0.08521024340949329,0.9493159690656148,0.9816652987326158,0.01406402088648585,0.004956922026981713,0.09797998187005649,0.03893493238558763,0.25635675649310286,3.5132096683525e-05,3.75150060024e-05
staleness,0.1,0.9944521496747852,0.06464005099330296,0.9566902631418115,0.9818936540292806,0.012494714812385389,0.005167242607088338,0.07803000786225564,0.038414390068209625,0.21084442695358543,3.5132096683525e-05,3.614806246385e-05
staleness,0.25,0.9948019081907967,0.06765535341648406,0.9642000546831502,0.9843386096896936,0.010807676685487076,0.0048226210608271255,0.05976938507659414,0.0331596454035482,0.1872981802181276,3.5132096683525e-05,3.71913121094875e-05
staleness,0.5,0.9952944867294212,0.05693141931232027,0.9693529578357717,0.9869652769988722,0.009440698275088687,0.004161345749024675,0.04567640443764631,0.027281720410800424,0.15459089115451047,3.5132096683525e-05,3.617945007235e-05
staleness,1.0,0.9964147047814553,0.024468576213653764,0.9791616858476605,0.9906141888152101,0.0066811503798882375,0.003269670924623975,0.02205334066042855,0.01086539950439115,0.08302219718348319,3.5132096683525e-05,3.51914414414375e-05
