system,r,mean,std
AgeAware,0.05,0.9556056281781073,0.00845723899019238
AgeAware,0.1,0.9617587117639097,0.008152216402322115
AgeAware,0.25,0.9650964823928276,0.007854900277120592
AgeAware,0.5,0.9714482314127978,0.006445264443685054
AgeAware,1.0,0.9838395384443858,0.004699930649453742
NoAgeFeat,0.05,0.951220223791525,0.009511238433866661
NoAgeFeat,0.1,0.9600079493954279,0.008044711838432438
NoAgeFeat,0.25,0.9624972012223192,0.007657685004919673
NoAgeFeat,0.5,0.9682460663923577,0.007772926285231669
NoAgeFeat,1.0,0.9797150015922408,0.005353131148775038
PolicyStale,0.05,0.7480314618056085,0.032962598332401345
PolicyStale,0.1,0.7849475658628654,0.02937258631989599
PolicyStale,0.25,0.8452885036384131,0.01795028102088835
PolicyStale,0.5,0.8911849617297267,0.015357508819111505
PolicyStale,1.0,1.0,0.0
StaleBlind,0.05,0.5460664646957,0.027756937284066613
StaleBlind,0.1,0.6076140088667376,0.01697663091054932
StaleBlind,0.25,0.6970945945284968,0.01811544569844401
StaleBlind,0.5,0.7997527647824766,0.01427323207966315
StaleBlind,1.0,0.9904890246200191,0.003591585095944141
