,,macro_f1,macro_f1,balanced_acc,balanced_acc,macro_f1_emergency,macro_f1_emergency,f1_LTE_5G,f1_LTE_5G,f1_NO_CHANNEL,f1_NO_CHANNEL
,,mean,std,mean,std,mean,std,mean,std,mean,std
system,p,,,,,,,,,,
AdaBoost,0.0,0.9928151417293829,0.0028826537620678066,0.9911536134884401,0.0037693673933783586,0.9290691925764312,0.08699099229752308,0.9717705233042465,0.007531221357114882,0.9937614507839228,0.010234728352359198
AdaBoost,0.1,0.9910334136838758,0.002938432315207917,0.9886604032580604,0.003045952151095746,0.9270460356407083,0.09052870019639517,0.9632418466714339,0.010976617073103618,0.9923881673881674,0.011641453827239925
AdaBoost,0.25,0.9893540160860661,0.0034270156325950825,0.9852395238554708,0.004663754029799939,0.9265406651965102,0.08792048524760886,0.9536247947209329,0.013721562734683192,0.9923881673881674,0.011641453827239925
AdaBoost,0.5,0.9761399710065392,0.0063523684068601625,0.9645461698809623,0.008753561339365333,0.8881134564301966,0.09086353477979195,0.8823320520442222,0.034458559668632205,0.9954106280193237,0.008745352942809375
AdaBoost,0.75,0.9450299251590399,0.016564967971779393,0.9263973299151905,0.01933613724842199,0.8437697003213853,0.06493940566124806,0.7125146763295711,0.09689297345970926,0.9950549450549451,0.010291857709942717
Bagging,0.0,0.981339263006292,0.006131270988081899,0.9821701416303743,0.006142786001662432,0.8998382734510812,0.0824867828891536,0.9147083624849551,0.03522536863289358,0.9969507820347252,0.005777884819663625
Bagging,0.1,0.9807940150951684,0.004566563267933102,0.9794986043745819,0.005625723038708895,0.8987836016714845,0.08140347947206512,0.9117778336447444,0.027592886645666424,0.995824655908599,0.005973318885974337
Bagging,0.25,0.9766645586162859,0.005717072413548386,0.9719938749051436,0.0067313878079105416,0.8898673794434019,0.08161979410139752,0.8906148667042199,0.03401462011605222,0.9960128734881211,0.005614737393886042
Bagging,0.5,0.9704333059841543,0.004711038167521846,0.9606527831646006,0.004928227259144873,0.8758616711879276,0.07908413693907175,0.8652151078418735,0.028887169250574996,0.9902100234199849,0.008474858001848513
Bagging,0.75,0.9530556471788053,0.012720252546688224,0.9353809534984091,0.016754964587782157,0.8536007944931716,0.06619753099437996,0.7751185120255383,0.0712074506778029,0.985035651389096,0.011547151214781044
DecisionTree,0.0,0.9801767882775669,0.005512001834718633,0.9813841222627502,0.0053274088745310965,0.8916755640130988,0.08128492132018848,0.9093623373601175,0.029058246876442526,0.9969507820347252,0.005777884819663625
DecisionTree,0.1,0.9779366655497723,0.006196919580153957,0.9776698127965476,0.006227865473856898,0.885235800062045,0.0840320247822716,0.8978063912685008,0.03211320352487343,0.9969507820347252,0.005777884819663625
DecisionTree,0.25,0.9733304817472912,0.006480993348982321,0.9700170805728866,0.006408018907332239,0.8798566271900166,0.08746523164458768,0.8779257090517212,0.03762490011439409,0.9933432784272216,0.00731133283699298
DecisionTree,0.5,0.9640751208759752,0.005481168794830149,0.9553709668488944,0.005689091579641832,0.8580635650146277,0.0802792701820133,0.8326062255349462,0.030678375723377865,0.9923274054113486,0.009116565433112499
DecisionTree,0.75,0.9499708901319963,0.014666669849372403,0.9343962096742793,0.018484396544522826,0.8400439485644862,0.07252472259913471,0.7547200159557335,0.07770735323179101,0.9916771813663877,0.009988482231245729
LogReg,0.0,0.9612023730333012,0.006739971140256338,0.9624218375876655,0.0070898707484342025,0.8424253737785461,0.0848504227672759,0.8899579208198798,0.036481899708462294,0.9936096512183469,0.009721610724958302
LogReg,0.1,0.9550606722231691,0.0062730798091298464,0.9557577001214217,0.007735478159328092,0.8280539719400214,0.08628336450771563,0.8754159862071671,0.03319593202434049,0.9845460370212845,0.01365371193815988
LogReg,0.25,0.9442303701539019,0.006078702588172641,0.9454841160271247,0.009532166976738693,0.8136232651603464,0.07838179741985832,0.8419702064624883,0.03128914741787144,0.9655306767828963,0.013196671365011226
