model_A,model_B,mean_A,mean_B,wilcoxon_stat,p_value
DecisionTree,Bagging,0.9801767882775669,0.981339263006292,12.0,0.4609375
DecisionTree,AdaBoost,0.9801767882775669,0.9928151417293829,0.0,0.0078125
DecisionTree,RUSBoost,0.9801767882775669,0.8912037791618826,0.0,0.0078125
DecisionTree,XGBoost,0.9801767882775669,0.9899789773991947,0.0,0.0078125
Bagging,AdaBoost,0.981339263006292,0.9928151417293829,0.0,0.0078125
Bagging,RUSBoost,0.981339263006292,0.8912037791618826,0.0,0.0078125
Bagging,XGBoost,0.981339263006292,0.9899789773991947,0.0,0.0078125
AdaBoost,RUSBoost,0.9928151417293829,0.8912037791618826,0.0,0.0078125
AdaBoost,XGBoost,0.9928151417293829,0.9899789773991947,7.0,0.1484375
RUSBoost,XGBoost,0.8912037791618826,0.9899789773991947,0.0,0.0078125
